bom_id,title,total_gross,theaters,release_date,year
rl307070465,The Cotton Club,"$25,928,721",809,Dec 14,1984
rl459965953,Protocol,"$26,186,631",904,Dec 21,1984
rl4182803969,Falling in Love,"$11,129,057",807,Nov 21,1984
rl1180861953,Micki + Maude,"$26,080,861",876,Dec 21,1984
rl1750959617,Johnny Dangerously,"$17,124,395","1,106",Dec 21,1984
rl3142682113,A Nightmare on Elm Street,"$25,504,513",380,Nov 9,1984
rl1045005825,Breakin' 2: Electric Boogaloo,"$15,101,131",908,Dec 21,1984
rl3612575233,The Flamingo Kid,"$23,859,382",753,Dec 21,1984
rl3278669313,Runaway,"$6,770,587",720,Dec 14,1984
rl3496576513,A Passage to India,"$27,187,653",650,Dec 14,1984
rl1985775105,The Killing Fields,"$34,700,291",663,Nov 2,1984
rl2053932545,The River,"$11,489,982","1,001",Dec 21,1984
rl1078429185,Birdy,"$1,455,045",18,Dec 21,1984
rl3898967553,Mrs. Soffel,"$4,385,312",801,Dec 28,1984
rl2084668929,1984,"$8,430,492",295,Dec 14,1984
rl2974385665,Back to the Future,"$210,609,762","1,550",Jul 3,1985
rl3043788289,Rocky IV,"$127,873,716","2,254",Nov 27,1985
rl745768449,Spies Like Us,"$60,088,980","1,700",Dec 6,1985
rl408782337,The Jewel of the Nile,"$75,973,200","1,490",Dec 13,1985
rl276530689,White Nights,"$42,160,849","1,064",Nov 22,1985
rl1114605057,Santa Claus: The Movie,"$23,717,291","1,585",Nov 27,1985
rl107578881,Out of Africa,"$87,071,205","1,102",Dec 20,1985
rl4219110913,Young Sherlock Holmes,"$19,739,575","1,502",Dec 6,1985
rl843154945,One Hundred and One Dalmatians,"$33,049,729","1,185",Dec 20,1985
rl71992833,The Color Purple,"$94,175,854","1,109",Dec 20,1985
rl2051704321,Clue,"$14,643,997","1,022",Dec 13,1985
rl3193013761,A Nightmare on Elm Street 2: Freddy's Revenge,"$29,999,213",614,Nov 1,1985
rl2924185089,A Chorus Line,"$14,202,899",680,Dec 13,1985
rl3897656833,Enemy Mine,"$12,303,411",713,Dec 20,1985
rl2673640961,Kiss of the Spider Woman,"$17,005,229",204,Jul 26,1985
rl3362620929,Revolution,"$358,574",30,Dec 25,1985
rl828671489,Murphy's Romance,"$30,867,525","1,046",Dec 27,1985
rl3360065025,Brazil,"$9,929,135",173,Dec 18,1985
rl2102560257,Fool for Love,"$836,156",57,Dec 6,1985
rl3108865537,Crocodile Dundee,"$174,803,506","1,495",Sep 26,1986
rl3027469825,Star Trek IV: The Voyage Home,"$109,713,132","1,956",Nov 26,1986
rl2555676161,The Golden Child,"$79,817,937","1,714",Dec 12,1986
rl2487453185,An American Tail,"$47,483,002","1,249",Nov 21,1986
rl4283860481,Heartbreak Ridge,"$42,724,017","1,647",Dec 5,1986
rl2738980353,¡Three Amigos!,"$39,246,734","1,466",Dec 12,1986
rl1347126785,Children of a Lesser God,"$31,853,080",544,Oct 3,1986
rl576685569,Lady and the Tramp,"$31,129,082","1,375",Dec 19,1986
rl3344860673,Little Shop of Horrors,"$38,748,395","1,183",Dec 19,1986
rl1447921153,Crimes of the Heart,"$22,905,522",685,Dec 12,1986
rl1399162369,The Morning After,"$25,147,055",955,Dec 26,1986
rl2909242881,No Mercy,"$12,303,904","1,206",Dec 19,1986
rl1164281345,The Mosquito Coast,"$14,302,779",451,Nov 26,1986
rl55150081,Brighton Beach Memoirs,"$11,957,943",778,Dec 26,1986
rl1096582657,King Kong Lives,"$4,711,220","1,105",Dec 19,1986
rl3446179329,Platoon,"$138,530,565","1,564",Dec 19,1986
rl3529672193,The Mission,"$17,218,023",730,Oct 31,1986
rl693667329,Hoosiers,"$28,607,524","1,048",Nov 14,1986
rl1819379201,Sid and Nancy,"$2,826,523",43,Oct 17,1986
rl2890040833,A Room with a View,"$20,966,644",150,Mar 7,1986
rl3829696001,Betty Blue,"$2,003,822",20,Nov 7,1986
rl4118513153,Witchboard,"$7,369,373","1,068",Dec 31,1986
rl961512961,Defense of the Realm,"$750,000",15,Nov 21,1986
rl1432585729,Marlene,"$852,676",6,Nov 7,1986
rl4132341249,Duet for One,"$8,736",1,Dec 25,1986
rl794002945,Fatal Attraction,"$156,645,693","1,401",Sep 18,1987
rl3061089793,Three Men and a Baby,"$167,780,960","1,813",Nov 25,1987
rl2505016833,Dirty Dancing,"$63,446,382","1,012",Aug 21,1987
rl3395847681,"Planes, Trains & Automobiles","$49,530,280","1,684",Nov 25,1987
rl829392385,The Running Man,"$38,122,105","1,694",Nov 13,1987
rl560301569,Throw Momma from the Train,"$57,915,972","1,623",Dec 11,1987
rl4216030721,Cinderella,"$34,101,149","1,657",Nov 20,1987
rl273778177,Eddie Murphy: Raw,"$50,504,655","1,494",Dec 18,1987
rl963020289,Nuts,"$30,950,002","1,112",Nov 20,1987
rl3380184577,Wall Street,"$43,848,069",989,Dec 11,1987
rl3578103297,*batteries not included,"$32,945,797","1,367",Dec 18,1987
rl1967752705,Broadcast News,"$51,249,404",848,Dec 18,1987
rl2003404289,Overboard,"$26,713,187","1,135",Dec 18,1987
rl2672920065,Empire of the Sun,"$22,238,696",673,Dec 11,1987
rl1130333697,The Last Emperor,"$43,984,230",877,Nov 20,1987
rl224298497,Leonard Part 6,"$4,615,255","1,149",Dec 18,1987
rl2303559169,Cry Freedom,"$5,899,797",479,Nov 6,1987
rl1550157313,Moonstruck,"$80,640,528","1,178",Dec 18,1987
rl3713304065,"Good Morning, Vietnam","$123,922,370","1,598",Dec 25,1987
rl1364887041,Ironweed,"$7,393,346",600,Dec 18,1987
rl1383040513,Sammy and Rosie Get Laid,"$1,196,336",15,Oct 30,1987
rl4166419969,I've Heard the Mermaids Singing,"$1,408,491",27,Sep 11,1987
rl743998977,Hope and Glory,"$10,021,120",328,Oct 16,1987
rl1852933633,Siesta,"$700,000",30,Nov 11,1987
rl3245311489,Scrooged,"$60,328,558","1,897",Nov 23,1988
rl2021033473,Twins,"$111,938,388","1,659",Dec 9,1988
rl2992932353,The Naked Gun: From the Files of Police Squad!,"$78,756,177","1,969",Dec 2,1988
rl2069857793,The Land Before Time,"$48,092,846","1,414",Nov 18,1988
rl1701217793,Oliver & Company,"$53,279,055","1,503",Nov 18,1988
rl3999958529,Rain Man,"$172,825,435","1,590",Dec 16,1988
rl3478029825,Ernest Saves Christmas,"$28,202,109","1,640",Nov 11,1988
rl3530917377,Tequila Sunrise,"$41,292,551","1,411",Dec 2,1988
rl2454685185,Dirty Rotten Scoundrels,"$42,039,085","1,515",Dec 16,1988
rl1632273921,Cocoon: The Return,"$18,924,919",997,Nov 23,1988
rl175801857,Working Girl,"$63,779,477","1,149",Dec 23,1988
rl3966993921,My Stepmother Is an Alien,"$13,854,000","1,148",Dec 9,1988
rl777618945,Hellbound: Hellraiser II,"$12,090,735","1,187",Dec 23,1988
rl122979841,I'm Gonna Git You Sucka,"$13,030,057",266,Dec 16,1988
rl1315079681,Mississippi Burning,"$34,603,943","1,134",Dec 9,1988
rl809797121,Beaches,"$57,041,866","1,122",Dec 23,1988
rl676103681,Dangerous Liaisons,"$34,670,720",762,Dec 23,1988
rl21005825,The Accidental Tourist,"$32,632,093",954,Dec 23,1988
rl1131775489,Talk Radio,"$3,468,572",653,Dec 23,1988
rl326600193,Torch Song Trilogy,"$4,865,997",135,Dec 16,1988
rl390235649,Another Woman,"$1,562,749",24,Oct 14,1988
rl443057665,Pelle the Conqueror,"$2,053,931",42,Dec 21,1988
rl1212646913,Bird,"$2,181,286",93,Sep 30,1988
rl1315997185,Some Girls,"$401,421",23,Sep 9,1988
rl2974516737,The Chocolate War,"$303,624",11,Nov 18,1988
rl1165592065,Vincent: The Life and Death of Vincent Van Gogh,"$1,577,480",16,Aug 19,1988
rl2992735745,Look Who's Talking,"$140,088,813","1,651",Oct 13,1989
rl2221508097,Parenthood,"$100,047,830","1,399",Aug 2,1989
rl2991162881,Back to the Future Part II,"$118,450,002","2,107",Nov 22,1989
rl1230407169,Harlem Nights,"$60,864,870","2,180",Nov 17,1989
rl2454423041,National Lampoon's Christmas Vacation,"$71,319,526","1,950",Dec 1,1989
rl929138177,The Little Mermaid,"$84,355,863","1,533",Nov 17,1989
rl4084434433,Steel Magnolias,"$83,759,091","1,372",Nov 17,1989
rl796427777,The War of the Roses,"$86,888,546","1,559",Dec 8,1989
rl692291073,All Dogs Go to Heaven,"$27,100,027","1,591",Nov 17,1989
rl3010823681,Tango & Cash,"$63,408,614","1,575",Dec 22,1989
rl1833141761,Always,"$43,858,790","1,206",Dec 22,1989
rl3882780161,She-Devil,"$15,351,421","1,452",Dec 8,1989
rl4031219201,Blaze,"$19,131,246",970,Dec 15,1989
rl3816523265,The Wizard,"$14,278,900","1,204",Dec 15,1989
rl4266690049,Family Business,"$12,195,695","1,230",Dec 15,1989
rl2759362049,We're No Angels,"$10,555,348","1,495",Dec 15,1989
rl2790163969,Driving Miss Daisy,"$106,593,296","1,668",Dec 15,1989
rl2823194113,Born on the Fourth of July,"$70,001,698","1,434",Dec 22,1989
rl4132537857,"Enemies, A Love Story","$7,754,571",75,Dec 15,1989
rl1733592577,Glory,"$26,828,365",811,Dec 14,1989
rl2876016129,Roger & Me,"$6,706,368",265,Dec 22,1989
rl475629057,Henry V,"$10,161,099",134,Nov 8,1989
rl508069377,Camille Claudel,"$3,331,297",34,Dec 21,1989
rl711230977,Music Box,"$6,263,883",462,Dec 22,1989
rl1986299393,My Left Foot,"$14,743,391",510,Nov 10,1989
rl1800570369,For All Mankind,"$770,132",9,Nov 1,1989
rl4067919361,Triumph of the Spirit,"$408,839",40,Dec 8,1989
rl1363314177,Apartment Zero,"$1,267,578",22,Sep 15,1989
rl4081092097,Akira,"$439,162",2,Dec 25,1989
rl3864364545,Ghost,"$217,631,306","1,766",Jul 13,1990
rl3629745665,Home Alone,"$285,761,243","2,173",Nov 16,1990
rl944539137,Dances with Wolves,"$184,208,848","1,636",Nov 9,1990
rl2436990465,Three Men and a Little Lady,"$71,609,321","1,614",Nov 21,1990
rl3781330433,Misery,"$61,276,872","1,370",Nov 30,1990
rl3998516737,Goodfellas,"$46,836,214","1,328",Sep 19,1990
rl1516013057,Kindergarten Cop,"$91,457,688","1,937",Dec 22,1990
rl1414825473,The Godfather: Part III,"$66,666,062","1,922",Dec 25,1990
rl3026290177,Look Who's Talking Too,"$47,789,074","1,647",Dec 14,1990
rl5342721,Edward Scissorhands,"$56,362,352","1,372",Dec 7,1990
rl2506982913,The Rescuers Down Under,"$27,931,461","1,487",Nov 16,1990
rl2221704705,The Rookie,"$21,633,874","1,862",Dec 7,1990
rl2103608833,Mermaids,"$35,419,397","1,154",Dec 14,1990
rl409961985,The Russia House,"$22,997,992",768,Dec 22,1990
rl1430685185,The Bonfire of the Vanities,"$15,691,192","1,395",Dec 22,1990
rl2656470529,Havana,"$9,243,140",835,Dec 14,1990
rl239306241,Almost an Angel,"$6,939,946","1,373",Dec 22,1990
rl558204417,Awakenings,"$52,096,475","1,330",Dec 22,1990
rl3496904193,The Sheltering Sky,"$2,075,084",95,Dec 14,1990
rl911640065,Hamlet,"$20,710,451",624,Dec 22,1990
rl3560998401,Alice,"$7,331,647",325,Dec 25,1990
rl2706867713,Green Card,"$29,888,235",757,Dec 25,1990
rl2070840833,Come See the Paradise,"$947,306",97,Dec 25,1990
rl3025634817,The Grifters,"$13,446,769",780,Dec 7,1990
rl2204468737,Mr. & Mrs. Bridge,"$7,698,010",240,Nov 23,1990
rl1666811393,Hidden Agenda,"$1,030,938",114,Nov 21,1990
rl1548977665,The Field,"$1,494,399",40,Dec 22,1990
rl1264682497,The Long Walk Home,"$4,873,620",272,Dec 22,1990
rl1182369281,Vincent & Theo,"$2,231,274",59,Nov 2,1990
rl2489615873,The Nasty Girl,"$2,281,569",40,Oct 26,1990
rl726763009,Eating,"$2,100,538",19,Nov 16,1990
rl1749059073,The Addams Family,"$113,502,426","2,411",Nov 22,1991
rl4490753,Beauty and the Beast,"$145,863,363","1,960",Nov 15,1991
rl911771137,Hook,"$119,654,823","2,254",Dec 11,1991
rl2051573249,Cape Fear,"$79,091,969","1,707",Nov 15,1991
rl3061024257,Star Trek VI: The Undiscovered Country,"$74,888,996","2,147",Dec 6,1991
rl1885636097,My Girl,"$59,489,799","2,089",Nov 27,1991
rl1600095745,The Last Boy Scout,"$59,509,925","1,823",Dec 13,1991
rl643008001,Father of the Bride,"$89,325,780","1,712",Dec 20,1991
rl509445633,JFK,"$70,405,498","1,395",Dec 20,1991
rl2454291969,Bugsy,"$49,114,016","1,253",Dec 13,1991
rl3949692417,The Prince of Tides,"$74,787,599","1,546",Dec 27,1991
rl4081288705,An American Tail: Fievel Goes West,"$22,166,041","1,698",Nov 22,1991
rl1432389121,Madame Bovary,"$1,942,423",53,Dec 27,1991
rl1415153153,High Heels,"$1,710,057",22,Dec 20,1991
rl779060737,Rush,"$7,241,350",664,Dec 20,1991
rl761431553,Meeting Venus,"$1,000,348",32,Nov 15,1991
rl1045792257,Fried Green Tomatoes,"$82,418,501","1,331",Dec 27,1991
rl4165895681,The Double Life of Véronique,"$1,999,955",22,Nov 22,1991
rl3295184385,At Play in the Fields of the Lord,"$1,345,903",25,Dec 6,1991
rl492275201,Grand Canyon,"$33,243,020","1,223",Dec 27,1991
rl3009709569,Naked Lunch,"$2,641,357",102,Dec 27,1991
rl3831334401,Kafka,"$1,059,071",32,Dec 4,1991
rl3614868993,Until the End of the World,"$829,625",22,Dec 27,1991
rl3831203329,The Inner Circle,"$93,292",3,Dec 27,1991
rl928024065,Europa Europa,"$5,575,738",34,Jun 28,1991
rl3463284225,Rhapsody in August,"$516,431",12,Dec 19,1991
rl3948316161,Hearts of Darkness: A Filmmaker's Apocalypse,"$1,318,449",28,Nov 27,1991
rl2807989761,Life Is Sweet,"$1,516,414",27,Oct 25,1991
rl4183197185,Hear My Song,"$4,313,473",214,Dec 27,1991
rl2237826561,Mindwalk,"$774,048",14,Oct 11,1991
rl71468545,Screenplay: Antonia and Jane,"$1,002,078",23,Oct 11,1991
rl1650361857,Let Him Have It,"$88,686",10,Dec 6,1991
rl3881403905,Home Alone 2: Lost in New York,"$173,585,516","2,461",Nov 20,1992
rl4148200961,Aladdin,"$217,350,219","2,331",Nov 13,1992
rl1967556097,The Bodyguard,"$121,945,720","1,806",Nov 25,1992
rl4118185473,Unforgiven,"$101,157,447","2,087",Aug 7,1992
rl1666418177,A Few Good Men,"$141,340,178","2,201",Dec 11,1992
rl4150298113,Malcolm X,"$48,169,910","1,249",Nov 20,1992
rl4132406785,The Distinguished Gentleman,"$46,666,502","1,984",Dec 4,1992
rl2137818625,A River Runs Through It,"$43,440,294","1,080",Oct 9,1992
rl1397917185,Forever Young,"$55,956,187","1,710",Dec 18,1992
rl3395651073,The Muppet Christmas Carol,"$27,281,507","2,084",Dec 11,1992
rl1551336961,Toys,"$23,278,931","1,294",Dec 18,1992
rl3596584449,Leap of Faith,"$23,369,283","1,600",Dec 18,1992
rl2170127873,Hoffa,"$24,276,506","1,103",Dec 25,1992
rl3092809217,Howards End,"$25,966,555",547,Mar 13,1992
rl2675410433,Trespass,"$13,249,535","1,027",Dec 25,1992
rl2337113601,The Crying Game,"$62,548,947","1,097",Nov 27,1992
rl778077697,The Lover,"$4,899,194",103,Oct 30,1992
rl3933177345,Scent of a Woman,"$63,095,253","1,252",Dec 23,1992
rl1399358977,Peter's Friends,"$4,058,564",140,Dec 25,1992
rl897156609,Used People,"$17,957,265",915,Dec 18,1992
rl3427632641,Damage,"$7,532,911",255,Dec 25,1992
rl692815361,Chaplin,"$9,493,259","1,080",Dec 25,1992
rl1853326849,Tous les matins du monde,"$3,089,497",33,Nov 13,1992
rl3865675265,Passion Fish,"$4,814,619",191,Dec 9,1992
rl1799980545,Brother's Keeper,"$1,305,915",15,Sep 9,1992
rl760382977,Flirting,"$2,415,396",33,Nov 6,1992
rl2354939393,Jurassic Park,"$357,067,947","2,566",Jun 11,1993
rl206931457,The Fugitive,"$183,875,760","2,425",Aug 6,1993
rl2085520897,Mrs. Doubtfire,"$219,195,243","2,354",Nov 24,1993
rl894273025,Cool Runnings,"$68,856,263","1,832",Oct 1,1993
rl426280449,The Pelican Brief,"$100,768,056","2,022",Dec 17,1993
rl2487322113,The Three Musketeers,"$53,898,845","2,128",Nov 12,1993
rl1950385665,Addams Family Values,"$48,919,043","2,577",Nov 19,1993
rl1635288577,Wayne's World 2,"$48,197,805","2,400",Dec 10,1993
rl2423358977,Sister Act 2: Back in the Habit,"$57,319,029","2,178",Dec 10,1993
rl1969784321,A Perfect World,"$31,130,999","1,964",Nov 24,1993
rl3963913729,Beethoven's 2nd,"$53,443,066","2,048",Dec 17,1993
rl863471105,Tombstone,"$56,505,065","1,955",Dec 24,1993
rl2825422337,The Piano,"$40,157,856",671,Nov 12,1993
rl2842527233,The Remains of the Day,"$23,237,911",517,Nov 5,1993
rl2220197377,Geronimo: An American Legend,"$18,635,620","1,636",Dec 10,1993
rl2421655041,Grumpy Old Men,"$70,172,621","1,725",Dec 25,1993
rl3949954561,Schindler's List,"$96,065,768","1,389",Dec 15,1993
rl3527771649,Batman: Mask of the Phantasm,"$5,617,391","1,506",Dec 25,1993
rl3679880705,Heaven & Earth,"$5,864,949",781,Dec 25,1993
rl2154923521,Six Degrees of Separation,"$6,405,918",201,Dec 10,1993
rl3545597441,Ghost in the Machine,"$5,086,909","1,031",Dec 31,1993
rl1147700737,Philadelphia,"$77,446,440","1,604",Dec 24,1993
rl2909963777,Screen Two: The Clothes in the Wardrobe,"$2,106,846",63,Dec 21,1993
rl827622913,What's Eating Gilbert Grape,"$10,032,765",611,Dec 17,1993
rl661751297,Short Cuts,"$6,110,979",165,Oct 1,1993
rl3562046977,"Faraway, So Close!","$810,455",15,Dec 21,1993
rl3143927297,Naked,"$1,769,305",26,Dec 17,1993
rl692487681,Three Colors: Blue,"$1,324,974",19,Nov 30,1993
rl2841937409,In the Name of the Father,"$25,096,862",688,Dec 31,1993
rl494437889,The War Room,"$901,668",21,Nov 3,1993
rl1953465857,The Saint of Fort Washington,"$134,454",16,Nov 17,1993
rl2490271233,Shadowlands,"$25,842,377","1,023",Dec 31,1993
rl1937409537,Wrestling Ernest Hemingway,"$278,720",47,Dec 17,1993
rl3730736641,The Lion King,"$312,855,561","2,624",Jun 15,1994
rl1314031105,Forrest Gump,"$329,694,499","2,365",Jul 6,1994
rl1131382273,The Santa Clause,"$144,833,357","2,388",Nov 11,1994
rl576357889,Interview with the Vampire: The Vampire Chronicles,"$105,264,608","2,604",Nov 11,1994
rl3077801473,Star Trek: Generations,"$75,671,125","2,681",Nov 18,1994
rl2053801473,Pulp Fiction,"$107,928,762","1,494",Oct 14,1994
rl4014900737,Dumb and Dumber,"$127,175,374","2,565",Dec 16,1994
rl2219804161,Disclosure,"$83,015,089","2,168",Dec 9,1994
rl2522711553,Junior,"$36,763,355","1,896",Nov 23,1994
rl190875137,A Low Down Dirty Shame,"$29,392,418","1,379",Nov 25,1994
rl2437842433,Drop Zone,"$28,735,315","2,055",Dec 9,1994
rl2808776193,Quiz Show,"$24,822,619",822,Sep 16,1994
rl1551009281,Street Fighter,"$33,423,521","1,738",Dec 23,1994
rl610371073,Little Women,"$50,083,616","1,579",Dec 21,1994
rl3815671297,The Shawshank Redemption,"$28,341,469",972,Sep 23,1994
rl3329066497,Ri¢hie Ri¢h,"$38,087,756","1,761",Dec 21,1994
rl2489157121,The Jungle Book,"$43,229,904","2,012",Dec 25,1994
rl3278931457,Speechless,"$20,667,959","1,404",Dec 16,1994
rl1985644033,I.Q.,"$26,381,221","1,412",Dec 25,1994
rl4100228609,Nell,"$33,683,817","1,236",Dec 16,1994
rl611157505,Ready to Wear,"$11,300,653",736,Dec 25,1994
rl946177537,Mixed Nuts,"$6,821,850","1,318",Dec 21,1994
rl108627457,Vanya on 42nd Street,"$1,746,050",28,Oct 21,1994
rl543065601,Legends of the Fall,"$66,638,883","2,038",Dec 23,1994
rl3646326273,Heavenly Creatures,"$3,049,135",57,Nov 16,1994
rl3160901121,Nobody's Fool,"$39,491,975","1,107",Dec 23,1994
rl1281066497,Immortal Beloved,"$9,914,409",463,Dec 16,1994
rl4150625793,Mrs. Parker and the Vicious Circle,"$2,144,667",67,Nov 23,1994
rl4216096257,Death and the Maiden,"$3,103,716",572,Dec 23,1994
rl2657060353,The Last Seduction,"$5,842,603",151,Oct 26,1994
rl442729985,A Man of No Importance,"$920,916",23,Dec 22,1994
rl1031243265,To Live,"$2,332,728",67,Nov 18,1994
rl712476161,Tom & Viv,"$538,534",21,Dec 2,1994
rl3009447425,The Madness of King George,"$15,238,689",464,Dec 30,1994
rl928548353,Hoop Dreams,"$7,830,611",262,Oct 14,1994
rl122914305,Federal Hill,"$514,775",11,Dec 9,1994
rl2020574721,Safe Passage,"$1,618,282",263,Dec 25,1994
rl2202633729,Killer,"$297,415",9,Dec 30,1994
rl1400342017,Toy Story,"$191,796,233","2,574",Nov 22,1995
rl121669121,Ace Ventura: When Nature Calls,"$108,385,533","2,705",Nov 10,1995
rl2622785025,GoldenEye,"$106,429,941","2,667",Nov 17,1995
rl1080985089,Se7en,"$100,125,643","2,528",Sep 22,1995
rl3594946049,Braveheart,"$75,609,945","2,037",May 24,1995
rl390432257,Babe,"$63,658,910","1,790",Aug 4,1995
rl2906883585,The American President,"$60,079,496","1,508",Nov 17,1995
rl2774369793,Jumanji,"$100,475,249","2,530",Dec 15,1995
rl659785217,Father of the Bride Part II,"$76,594,107","2,148",Dec 8,1995
rl2873656833,Casino,"$42,512,375","1,631",Nov 22,1995
rl526747137,Money Train,"$35,431,113","2,522",Nov 22,1995
rl3797321217,Heat,"$67,436,818","1,704",Dec 15,1995
rl4202268161,Waiting to Exhale,"$67,052,156","1,402",Dec 22,1995
rl393184769,Sabrina,"$53,672,080","1,976",Dec 15,1995
rl2438432257,Grumpier Old Men,"$71,518,503","2,037",Dec 22,1995
rl913802753,Tom and Huck,"$23,920,048","1,614",Dec 22,1995
rl1181910529,Sudden Death,"$20,350,171","1,687",Dec 22,1995
rl1481541121,Dracula: Dead and Loving It,"$10,772,144","1,425",Dec 22,1995
rl1416070657,Nixon,"$13,681,765",977,Dec 22,1995
rl4014835201,Cutthroat Island,"$10,017,322","1,619",Dec 22,1995
rl2907014657,Balto,"$11,348,324","1,433",Dec 22,1995
rl1819182593,Sense and Sensibility,"$43,182,776","1,054",Dec 15,1995
rl2807203329,Four Rooms,"$4,257,354",319,Dec 22,1995
rl1784382977,Il Postino,"$21,848,932",430,Jun 16,1995
rl3227485697,Leaving Las Vegas,"$32,029,928","1,310",Oct 27,1995
rl4117661185,Shanghai Triad,"$2,086,101",43,Dec 20,1995
